Participant ID,Age,Sex,Self reported sleep duration nights 1-3,Journal reported sleep duration nights 1-3,Mean % correct categorization for new items,Mean % correct categorization for old items,Mean % correct categorization for prototypes,Ration of prototype % Accuracy/New exeplar % Acuracy
2,22,female,350,380,0.37037035822868300,0.5740740895271300,0.5555555820465090,1.5
3,21,female,540,491.3333435058590,0.5555555820465090,0.5740740895271300,0.3333333432674410,0.6000000238418580
4,21,female,420,450,0.3333333432674410,0.6296296119689940,0.3333333432674410,1
5,21,female,470,511,0.4444444477558140,0.7592592835426330,0.2222222238779070,0.5
6,21,female,420,490,0.48148149251937900,0.7407407164573670,0.7777777910232540,1.615384578704830
7,22,female,470,430,0.40740740299224900,0.5185185074806210,0.1111111119389530,0.27272728085517900
8,22,female,420,401.6666564941410,0.5555555820465090,0.7037037014961240,0.6666666865348820,1.2000000476837200
9,20,female,540,520,0.25925925374031100,0.5,0.4444444477558140,1.7142857313156100
10,18,male,390,415,0.5185185074806210,0.8703703880310060,0.4444444477558140,0.8571428656578060
11,21,female,390,500,0.40740740299224900,0.5740740895271300,0.3333333432674410,0.8181818127632140
12,20,male,350,610,0.4444444477558140,0.5185185074806210,0.4444444477558140,1
13,19,female,420,410,0.5925925970077520,0.5740740895271300,0.5555555820465090,0.9375
14,19,female,450,440,0.6666666865348820,0.6666666865348820,0.8888888955116270,1.3333333730697600
15,19,female,420,456.6666564941410,0.5185185074806210,0.6666666865348820,0.5555555820465090,1.0714285373687700
16,19,female,,340,0.4444444477558140,0.5370370149612430,0.2222222238779070,0.5
17,21,male,420,470,0.48148149251937900,0.8148148059844970,0.5555555820465090,1.1538461446762100
18,18,female,480,480,0.40740740299224900,0.6666666865348820,0.6666666865348820,1.6363636255264300
19,22,female,470,454.3333435058590,0.37037035822868300,0.5,0.4444444477558140,1.2000000476837200
20,22,female,470,455,0.5555555820465090,0.5555555820465090,0.3333333432674410,0.6000000238418580
21,20,male,470,455,1,1,1,1
22,20,female,390,520,0.4444444477558140,0.5185185074806210,0.5555555820465090,1.25
23,20,female,470,395,0.9629629850387570,0.9629629850387570,1,1.0384615659713700
24,22,female,480,485,0.7037037014961240,0.8333333134651180,0.5555555820465090,0.7894737124443050
25,19,female,470,466.6666564941410,0.6296296119689940,0.6666666865348820,0.8888888955116270,1.4117647409439100
26,22,female,470,485,0.5925925970077520,0.7962962985038760,0.6666666865348820,1.125
27,22,male,360,385,0.3333333432674410,0.5,0.3333333432674410,1
28,21,female,420,500,0.3333333432674410,0.5370370149612430,0.3333333432674410,1
29,22,female,420,465,0.7407407164573670,0.6851851940155030,0.7777777910232540,1.0499999523162800
30,22,female,120,403.3333435058590,0.18518517911434200,0.5,0.2222222238779070,1.2000000476837200
31,22,female,360,410,0.29629629850387600,0.25925925374031100,0.2222222238779070,0.75
32,22,female,360,463.3333435058590,0.5555555820465090,0.6851851940155030,0.8888888955116270,1.600000023841860
33,22,female,480,465,0.4444444477558140,0.37037035822868300,0.2222222238779070,0.5
34,19,female,420,480,0.6666666865348820,0.5740740895271300,0.5555555820465090,0.8333333134651180
35,18,female,480,610,0.4444444477558140,0.5,0.4444444477558140,1
36,19,female,360,560,0.7407407164573670,0.5925925970077520,0.5555555820465090,0.75
37,19,female,480,475,0.5185185074806210,0.7037037014961240,0.4444444477558140,0.8571428656578060
38,21,male,470,400,0.6666666865348820,0.8518518805503850,0.7777777910232540,1.1666666269302400
39,,female,480,440,0.29629629850387600,0.6111111044883730,0.2222222238779070,0.75
40,19,female,390,410,0.5925925970077520,0.8703703880310060,0.4444444477558140,0.75
41,19,female,510,370,0.5925925970077520,0.8703703880310060,0.4444444477558140,0.75
42,19,female,420,405,0.7407407164573670,0.9074074029922490,0.8888888955116270,1.2000000476837200
43,,female,480,496.6666564941410,0.6666666865348820,0.7407407164573670,1,1.5
44,,male,390,370,0.7037037014961240,0.7222222089767460,1,1.4210525751113900
45,19,female,390,,0.2222222238779070,0.4444444477558140,0.2222222238779070,1
46,18,female,470,466.6666564941410,0.14814814925193800,0.37037035822868300,,
47,18,female,480,490,0.4444444477558140,0.6111111044883730,0.1111111119389530,0.25
48,18,female,480,453.3333435058590,0.6296296119689940,0.5,0.4444444477558140,0.7058823704719540
49,21,female,480,450,0.6296296119689940,0.5740740895271300,0.5555555820465090,0.8823529481887820
50,21,female,420,460,0.40740740299224900,0.6481481194496160,0.5555555820465090,1.3636363744735700
51,18,female,350,305,0.4444444477558140,0.8148148059844970,0.6666666865348820,1.5
52,20,male,390,423.3333435058590,0.6666666865348820,0.8148148059844970,0.7777777910232540,1.1666666269302400
53,18,female,470,496.6666564941410,0.25925925374031100,0.40740740299224900,0.1111111119389530,0.4285714328289030
54,,,,,0.8148148059844970,0.8333333134651180,0.8888888955116270,1.0909091234207200
55,,,,,0.4444444477558140,0.5925925970077520,0.3333333432674410,0.75
56,18,male,440,390,0.48148149251937900,0.6111111044883730,0.8888888955116270,1.8461538553237900
57,18,male,390,400,0.7037037014961240,0.9629629850387570,0.7777777910232540,1.105263113975530
58,20,female,480,460,0.7037037014961240,0.7592592835426330,0.8888888955116270,1.263157844543460
59,18,female,480,546.6666870117190,0.4444444477558140,0.8148148059844970,0.5555555820465090,1.25
60,18,female,480,455.3333435058590,0.6666666865348820,0.6851851940155030,0.4444444477558140,0.6666666865348820
61,20,female,390,445,0.5925925970077520,0.7592592835426330,0.5555555820465090,0.9375
62,20,female,390,420,0.48148149251937900,0.6296296119689940,0.6666666865348820,1.384615421295170
63,19,male,300,207.5,0.40740740299224900,0.6481481194496160,0.4444444477558140,1.0909091234207200
65,19,female,390,438.3333435058590,0.7777777910232540,0.8518518805503850,1,1.2857142686843900
66,20,female,470,580,0.9259259104728700,0.9814814925193790,1,1.0800000429153400
67,21,male,420,540,0.7777777910232540,0.9074074029922490,1,1.2857142686843900
68,19,female,390,446.6666564941410,0.6296296119689940,0.7037037014961240,0.4444444477558140,0.7058823704719540
69,19,female,420,445,0.8148148059844970,0.8518518805503850,0.7777777910232540,0.9545454382896420
